car_title,location,year,price,kilometers,transmission_type,number_of_doors,source,model,color,contact_number,brand
تويوتا هيلوكس 1994,"Al Masn'a, Al Batinah•",1994,"OMR 1,500",200000,Manual,'2/3,US,Hilux,Green,N/A,Toyota
جيب رانجلر 2008 اقراء الوصف,"Barka, Al Batinah•",2008,"OMR 2,300",250000,Manual,'2/3,US,Wrangler,Black,N/A,Jeep
Nissan Sunny 2013,"Al Wadi Al Kabir, Muscat•",2013,"OMR 1,300",262349,Automatic,N/A,GCC,Sunny,Silver,N/A,Unknown
ميتسوبيشي إل 200 2013,"Sohar, Al Batinah•",2013,"OMR 1,000",230000,Manual,'4/5,GCC,L200,White,N/A,Mitsubishi
كيا اوبتيما للبيع kia optima for sale,"Bosher, Muscat•",2012,"OMR 1,500",140000,Automatic,'4/5,US,Optima,White,N/A,Kia
Hyundai Accent 2015,"Al Wadi Al Kabir, Muscat•",2015,"OMR 1,500",200000,Automatic,N/A,GCC,Accent,Other,N/A,Unknown
GMC Acadia 2012,"Ruwi, Muscat•",2012,"OMR 1,250",200,Automatic,'4/5,GCC,Acadia,Black,N/A,GMC
Ford Explorer GCC model 2015,"Al Amarat, Muscat•",2015,"OMR 4,800",87000,Automatic,'4/5,GCC,Explorer,Blue,N/A,Ford
2011 Toyota Corolla XLI,"Al Ghubrah, Muscat•",2011,"OMR 2,800",168100,Automatic,'4/5,GCC,Corolla,White,N/A,Toyota
Kia Sportage 2008,"Sur, Al Sharqiya•",2008,"OMR 1,500",340162,Automatic,'4/5,GCC,Sportage,Silver,N/A,Kia
Land Rover HSE V8 2015,"Al Seeb, Muscat•",2014,"OMR 9,900",152000,Automatic,'4/5,GCC,HSE V8,White,N/A,Land Rover
"2016 Dodge Charger expact driven Oman car, 4 new tyres,new mulkiya ins","Al Khuwair, Muscat•",2016,"OMR 3,600",-,Automatic,N/A,Company Source,Charger,Grey,N/A,Unknown
Nissan Altima 2014,"Al Hail, Muscat•",2014,"OMR 2,300",125,Automatic,'2/3,GCC,Altima,Red,N/A,Nissan
Nissan Tiida 2009,"Al Hamriyah, Muscat•",2009,OMR 899,450000,Automatic,N/A,Company Source,Tiida,Silver,N/A,Unknown
Daihatsu Sirion 2006,"Al Khuwair, Muscat•",2006,OMR 750,300000,Automatic,N/A,GCC,Sirion,Silver,N/A,Unknown
ابحث عن سياره بتقسيط,"Barka, Al Batinah•",2025,"OMR 6,266",3333,Automatic,'4/5,Europe,S8,Yellow,N/A,Unknown
Nissan Tiida 2007,"Ibri, Al Dhahirah•",2007,OMR 850,300000,Automatic,'4/5,GCC,Tiida,White,N/A,Nissan
هيونداي سوناتا 2008,"Al Amarat, Muscat•",2008,OMR 950,280000,Automatic,'4/5,GCC,Sonata,White,N/A,Hyundai
كيا سيدونا 2018,"Al Seeb, Muscat•",2018,"OMR 4,200",185,Automatic,'4/5,US,Sedona,Other,N/A,Kia
Nissan Frontier 2008,"Al Khoud, Muscat•",2008,"OMR 1,100",4,Automatic,N/A,Company Source,Frontier,Black,N/A,Unknown
Kia Sorento 2020,"Salalah, Dhofar•",2020,"OMR 7,500",57000,Automatic,'4/5,GCC,Sorento,Silver,N/A,Kia
Lexus IS-Series 2010,"Qurum, Muscat•",2010,"OMR 2,600",235000,Automatic,'4/5,GCC,IS-Series,Burgundy,N/A,Unknown
هيونداي إلينترا 2015,"Al Maabilah, Muscat•",2015,"OMR 1,540",370000,Automatic,N/A,GCC,Elantra,White,N/A,Unknown
Hyundai Tucson 2015,"Al Khoud, Muscat•",2015,"OMR 2,750",153000,Automatic,'4/5,GCC,Tucson,White,N/A,Hyundai
فورد فيوجن 2014,"Sumail, Al Dakhiliya•",2014,"OMR 2,700",170000,Automatic,N/A,GCC,Fusion,Red,N/A,Unknown
Hyundai Sonata 2015,"Salalah, Dhofar•",2015,"OMR 1,800",20000,Automatic,'4/5,US,Sonata,White,N/A,Hyundai
Honda HR-V 2024,"Ruwi, Muscat•",2024,"OMR 6,800",6500,Automatic,'4/5,US,HR-V,Burgundy,N/A,Unknown
تويوتا كامرى 2020,"Suwaiq, Al Batinah•",2020,"OMR 7,800",60,Automatic,N/A,US,Camry,Silver,N/A,Unknown
Honda Civic 2005,"Saham, Al Batinah•",2005,OMR 550,120000,Automatic,'4/5,GCC,Civic,Brown,N/A,Honda
تويوتا أفالون 2003,"Suwaiq, Al Batinah•",2003,"OMR 1,100",180,Automatic,'4/5,US,Avalon,Green,N/A,Toyota
بي ام دبليو الفئة 3 2018,"Al Maabilah, Muscat•",2018,"OMR 5,800",169,Automatic,'4/5,US,3-Series,White,N/A,Unknown
تويوتا كامرى 2020,"Bidbid, Al Dakhiliya•",2020,"OMR 6,800",72000,Automatic,'4/5,US,Camry,Blue,N/A,Toyota
Toyota Camry 2015,"Al Ghubrah, Muscat•",2015,"OMR 3,800",265000,Automatic,'4/5,US,Camry,Blue,N/A,Toyota
هيونداي أكسنت 2013,"Sohar, Al Batinah•",2013,"OMR 1,400",261000,Automatic,'4/5,GCC,Accent,Silver,N/A,Hyundai
Renault Safrane 2015,"Ghala, Muscat•",2015,"OMR 1,100",169000,Automatic,'4/5,GCC,Safrane,White,N/A,Renault
Hyundai Veloster 2014,"Barka, Al Batinah•",2014,"OMR 1,700",283000,Automatic,'2/3,GCC,Veloster,Yellow,N/A,Hyundai
Nissan Sunny 2014,"Al Hamriyah, Muscat•",2014,"OMR 1,350",240180,Automatic,'4/5,GCC,Sunny,White,N/A,Nissan
نيسان التيما 2020,"Sohar, Al Batinah•",2020,"OMR 4,300",210000,Automatic,'4/5,US,Altima,Silver,N/A,Nissan
Nissan Altima 2024,"Barka, Al Batinah•",2024,"OMR 6,500",66000,Automatic,N/A,US,Altima,Grey,N/A,Unknown
Nissan Rogue 2019,"Qurum, Muscat•",2019,"OMR 4,500",80000,Automatic,'4/5,US,Rogue,Black,N/A,Nissan
GMC Terrain 2015 SLT,"Darsait, Muscat•",2015,"OMR 2,900",166000,Automatic,'4/5,GCC,Terrain,White,N/A,GMC
كيا كادينزا 2011,"Al Maabilah, Muscat•",2011,"OMR 1,300",450000,Automatic,N/A,GCC,Cadenza,Silver,N/A,Unknown
Land Rover LR2 2009,"Sohar, Al Batinah•",2009,"OMR 1,200",210000,Automatic,'4/5,GCC,LR2,Gold,N/A,Land Rover
Geely Emgrand 7 2023,"Darsait, Muscat•",2023,"OMR 4,500",70415,Automatic,'4/5,Company Source,Emgrand 7,Other,N/A,MG
أودي تي تي إس 2012,"Ansab, Muscat•",2012,"OMR 2,300",200000,Automatic,N/A,GCC,TTS,White,N/A,Unknown
دودج تشارجر 2012,"Al Seeb, Muscat•",2012,"OMR 1,700",250,Automatic,'2/3,US,Charger,Red,N/A,Dodge
Toyota Corolla 2021,"Salalah, Dhofar•",2021,"OMR 4,700",150000,Automatic,'2/3,Company Source,Corolla,Black,N/A,Toyota
Honda Accord 2022,"Azaiba, Muscat•",2022,"OMR 6,300",83000,Automatic,'4/5,US,Accord,Grey,N/A,Honda
ميني كوبر إس كوبيه 2017,"Al Maabilah, Muscat•",2017,"OMR 3,999",85000,Automatic,'4/5,US,Cooper S Coupé,Black,N/A,Unknown
بي ام دبليو الفئة 2 2017,"Al Khuwair, Muscat•",2017,"OMR 6,999",55000,Automatic,'2/3,US,2-Series,White,N/A,Unknown
تويوتا ياريس 2007,"Al Maabilah, Muscat•",2007,"OMR 1,350",10,Automatic,'4/5,GCC,Yaris,White,N/A,Toyota
Toyota Corolla 2021,"Salalah, Dhofar•",2021,"OMR 4,700",150000,Automatic,N/A,Company Source,Corolla,Black,N/A,Toyota
Renault Duster 2015,"Sohar, Al Batinah•",2015,"OMR 1,250",192300,Automatic,'4/5,GCC,Duster,Green,N/A,Renault
جاكوار إكس إف 2012 Jaguar XF 2012,"Al Seeb, Muscat•",2012,"OMR 3,000",200000,Automatic,'4/5,US,XF,White,N/A,Jaguar
مرسيدس بنز سي 300 2019,"Qurum, Muscat•",2019,"OMR 7,400",80000,Automatic,'4/5,US,C 300,Grey,N/A,Mercedes
Toyota Avalon 2006,"Ibra, Al Sharqiya•",2006,"OMR 1,700",25000,Automatic,'4/5,US,Avalon,Blue,N/A,Toyota
Dodge Charger 2014,"Bosher, Muscat•",2014,"OMR 1,900",199990,Automatic,'4/5,GCC,Charger,Beige,N/A,Dodge
نيسان صني 2004,"Al Khaboura, Al Batinah•",2004,OMR 850,40000,Manual,'4/5,GCC,Sunny,Silver,N/A,Nissan
نيسان التيما 2017,"Al Maabilah, Muscat•",2017,"OMR 2,500",165,Automatic,'4/5,US,Altima,Black,N/A,Nissan
Toyota Corolla 2017,"Salalah, Dhofar•",2017,"OMR 3,250",1,Automatic,'2/3,Company Source,Corolla,Black,N/A,Toyota
Subaru Impreza 2011,"Sohar, Al Batinah•",2011,"OMR 1,400",170000,Automatic,N/A,GCC,Impreza,White,N/A,Unknown
تويوتا كامرى 2008,"Bosher, Muscat•",2008,"OMR 1,550",300000,Automatic,'4/5,GCC,Camry,Silver,N/A,Toyota
Toyota Yaris 2011,"Al Hail, Muscat•",2011,"OMR 1,600",290000,Automatic,N/A,GCC,Yaris,White,N/A,Unknown
دودج تشارجر v6 2015,"Al Amarat, Muscat•",2015,"OMR 3,200",242000,Automatic,N/A,Canada,Charger,White,N/A,Unknown
Dodge Neon 2017,"Al Khuwair, Muscat•",2017,"OMR 1,500",130000,Automatic,'4/5,GCC,Neon,Black,N/A,Dodge
Chevrolet Cruze 2014,"Al Hail, Muscat•",2014,"OMR 1,100",222483,Automatic,N/A,GCC,Cruze,White,N/A,Unknown
Geely Emgrand 7 2015,"Al Khoud, Muscat•",2015,OMR 740,269000,Automatic,'2/3,GCC,Emgrand 7,Brown,N/A,MG
Nissan Versa 2012,"Al Ghubrah, Muscat•",2012,"OMR 1,050",250000,Automatic,'4/5,US,Versa,Grey,N/A,Nissan
شيفروليه أفيو 2017,"Al Maabilah, Muscat•",2017,"OMR 1,250",207000,Automatic,'4/5,GCC,Aveo,Grey,N/A,Chevrolet
Toyota Camry 2004,"Salalah, Dhofar•",2004,OMR 850,400000,Automatic,'4/5,GCC,Camry,Grey,N/A,Toyota
نيسان اكستيرا 2014,"Al Mawaleh, Muscat•",2014,"OMR 3,600",191000,Automatic,'4/5,US,Xterra,Black,N/A,Nissan
BMW X5 2023,"The Wave (Almouj), Muscat•",2023,"OMR 22,000",34000,Automatic,'4/5,US,X5,Other,N/A,BMW
Geely GC2 2015,"Al Mawaleh, Muscat•",2015,OMR 780,96000,Automatic,'4/5,GCC,GC2,Yellow,N/A,Geely
بيجو بارتنر 2007,"Al Seeb, Muscat•",2007,OMR 700,123000,Manual,'4/5,GCC,Partner,White,N/A,Peugeot
Honda Jazz 2009,"Al Khuwair, Muscat•",2009,"OMR 1,100",5,Automatic,'4/5,GCC,Jazz,Blue,N/A,Honda
بي ام دبليو الفئة 5 2019,"Barka, Al Batinah•",2019,"OMR 14,500",-,Automatic,N/A,GCC,5-Series,White,N/A,Unknown
Hyundai Accent 2013 2013,"Darsait, Muscat•",2013,"OMR 1,650",203000,Automatic,'4/5,GCC,Accent,White,N/A,Hyundai
سوزوكي جيمني 2018,"Qurayyat, Muscat•",2018,"OMR 3,600",19000,Manual,'2/3,Company Source,Jimny,Brown,N/A,Suzuki
تويوتا كامرى 2012,"Suwaiq, Al Batinah•",2012,"OMR 2,300",200000,Automatic,'4/5,US,Camry,Silver,N/A,Toyota
Toyota Corolla 2015,"Al Hail, Muscat•",2015,"OMR 2,500",193000,Automatic,'4/5,US,Corolla,Silver,N/A,Toyota
تويوتا برادو 2008,"Bosher, Muscat•",2008,"OMR 4,600",200000,Automatic,'4/5,GCC,Prado,White,N/A,Toyota
تويوتا هيلوكس 1995,"Qurayyat, Muscat•",1995,"OMR 2,000",300,Manual,'4/5,GCC,Hilux,Other,N/A,Toyota
نيسان فيرسا 2017,"Bosher, Muscat•",2017,"OMR 1,750",160,Automatic,'4/5,US,Versa,White,N/A,Nissan
لكزس آي إس 200 2016,"Al Maabilah, Muscat•",2016,"OMR 6,200",125,Automatic,'4/5,US,IS 200,Silver,N/A,Lexus
argent car for sale,"Al Masn'a, Al Batinah•",2012,"OMR 1,300",350000,Automatic,'4/5,GCC,Optima,White,N/A,Kia
Hyundai Sonata 2009,"Sohar, Al Batinah•",2009,OMR 680,349789,Automatic,'4/5,GCC,Sonata,White,N/A,Hyundai
Jeep Wrangler Sahara Full Option,"Al Seeb, Muscat•",2019,"OMR 8,900",119000,Automatic,N/A,US,Wrangler,Yellow,N/A,Unknown
Peugeot Partner 2015,"Sohar, Al Batinah•",2015,"OMR 1,600",1883,Manual,N/A,Company Source,Partner,White,N/A,Unknown
جيب شيروكى 1999,"Ibra, Al Sharqiya•",1999,"OMR 1,400",333333,Automatic,'4/5,US,Cherokee,Blue,N/A,Jeep
Toyota Camry 2018,"Barka, Al Batinah•",2018,"OMR 4,000",130000,Automatic,'4/5,GCC,Camry,Silver,N/A,Toyota
مرسيدس بنز 200 2019,"Bosher, Muscat•",2019,"OMR 7,999",120000,Automatic,'4/5,GCC,200,White,N/A,Mercedes
Jeep Wrangler 2020,"Al Maabilah, Muscat•",2020,"OMR 10,500",94000,Automatic,'4/5,US,Wrangler,Blue,N/A,Jeep
Toyota Camry 2017,"Al Khoud, Muscat•",2017,"OMR 3,800",101000,Automatic,'4/5,US,Camry,Burgundy,N/A,Toyota
تويوتا كامرى 2018,"Yunqul, Al Dhahirah•",2018,"OMR 7,500",173000,Automatic,'4/5,US,Camry,White,N/A,Toyota
Nissan Sentra 2016 GCC,"Qurum, Muscat•",2016,"OMR 2,200",154000,Automatic,N/A,GCC,Sentra,White,N/A,Unknown
Dodge Charger 2018,"Al Khuwair, Muscat•",2018,"OMR 5,500",163000,Automatic,N/A,US,Charger,Silver,N/A,Unknown
Daihatsu Sirion 2010,"Al Khuwair, Muscat•",2010,"OMR 1,050",211452,Automatic,'4/5,GCC,Sirion,White,N/A,Kia
هيونداي سوناتا 2019,"Bosher, Muscat•",2019,"OMR 3,699",152000,Automatic,'4/5,GCC,Sonata,White,N/A,Hyundai
Kia Sorento 2006 2006,"Bahla, Al Dakhiliya•",2006,OMR 400,22222,Automatic,'4/5,GCC,Sorento,Green,N/A,Kia
Mitsubishi Nativa 2008,"Al Seeb, Muscat•",2008,OMR 800,200000,Automatic,N/A,GCC,Nativa,Silver,N/A,Unknown
Ford Expedition 2019,"Al Seeb, Muscat•",2019,"OMR 8,600",190000,Automatic,'4/5,US,Expedition,Black,N/A,Ford
ميتسوبيشي لانسر 2008,"Al Khuwair, Muscat•",2008,OMR 900,325000,Automatic,'4/5,GCC,Lancer,Silver,N/A,Mitsubishi
Audi RS Q8 2019,"Bosher, Muscat•",2019,"OMR 19,000",77000,Automatic,'4/5,GCC,RS Q8,Gold,N/A,Audi
تكملة أقساط شيفروليه سوبربان 2020,"Al Maabilah, Muscat•",2020,"OMR 8,000",190000,Automatic,'4/5,US,Suburban,Black,N/A,Chevrolet
نيسان التيما SV صنع وطراز 2021 قمه بالنظافه,"Al Khaboura, Al Batinah•",2021,"OMR 5,300",97000,Automatic,'4/5,US,Altima,Black,N/A,Nissan
إنفينيتي كيو 50 2018,"Al Khaboura, Al Batinah•",2018,"OMR 5,700",90000,Automatic,'4/5,US,Q50,Grey,N/A,Infiniti
Infiniti G-Series 2012,"Al Seeb, Muscat•",2012,"OMR 1,700",313000,Automatic,'4/5,GCC,G-Series,Other,N/A,Unknown
Hyundai Veloster 2021,"Suwaiq, Al Batinah•",2021,"OMR 4,800",76500,Manual,'2/3,US,Veloster,White,N/A,Hyundai
Hyundai Sonata 2011,"Al Maabilah, Muscat•",2011,"OMR 1,475",191836,Automatic,'4/5,US,Sonata,Silver,N/A,Hyundai
1st Owner BMW X5 for sale,"Qurum, Muscat•",2014,"OMR 5,300",250000,Automatic,'4/5,Company Source,X5,Black,N/A,BMW
مرسيدس بنز إس-كلاس 2009,"Al Mawaleh, Muscat•",2009,"OMR 1,500",330000,Automatic,'4/5,GCC,S-Class,Grey,N/A,Unknown
URGENT SALE Ford Focus 2012 GCC space no accident,"Al Khoud, Muscat•",2012,"OMR 1,200",210,Automatic,'4/5,GCC,Focus,White,N/A,Ford
لكزس ار اكس ٣٥٠ للبيع,"Al Khoud, Muscat•",2014,"OMR 4,700",135000,Automatic,N/A,US,RX 350,White,N/A,Unknown
مرسيدس بنز اى 220 2020,"Al Seeb, Muscat•",2020,"OMR 7,500",190,Automatic,'4/5,US,E220,White,N/A,Mercedes
هوندا أكورد 2017,"Nizwa, Al Dakhiliya•",2017,"OMR 4,750",1,Automatic,'4/5,US,Accord,Silver,N/A,Honda
فورد إف 150 2019,"Ibri, Al Dhahirah•",2019,"OMR 11,200",116000,Automatic,'4/5,Canada,F150,White,N/A,Ford
Chevrolet Camaro 2017,"Qurum, Muscat•",2017,"OMR 7,800",130000,Automatic,'2/3,GCC,Camaro,White,N/A,Chevrolet
No. 1 MG MG 6 2020 Full options,"Ruwi, Muscat•",2020,"OMR 2,750",115000,Automatic,'4/5,GCC,MG 6,Silver,N/A,MG
جينيسيس GV 80 2024,"Al Mawaleh, Muscat•",2024,"OMR 17,800",52000,Automatic,'4/5,US,GV 80,Blue,N/A,Genesis
لكزس فئة -إيه اس 2005,"Al Amarat, Muscat•",2005,"OMR 1,350",270000,Automatic,'4/5,US,ES-Series,Burgundy,N/A,Unknown
ميتسوبيشي ميراج 2021,"Al Mawaleh, Muscat•",2021,"OMR 2,600",96000,Automatic,'4/5,US,mirage,Black,N/A,Mitsubishi
فورد إكسبلورر 2006,"Al Wadi Al Kabir, Muscat•",2006,OMR 850,300000,Automatic,'4/5,GCC,Explorer,Black,N/A,Ford
Hyundai Sonata 2011,"Sohar, Al Batinah•",2011,"OMR 1,200",190,Automatic,N/A,GCC,Sonata,Black,N/A,Unknown
Hyundai Sonata 2011,"Sohar, Al Batinah•",2011,"OMR 1,200",190,Automatic,N/A,GCC,Sonata,Black,N/A,Unknown
Nissan Sunny full option,"Bosher, Muscat•",2022,"OMR 2,900",80000,Automatic,'4/5,GCC,Sunny,Blue,N/A,Nissan
Mazda 2 Model 2014 For Sale,"Al Wadi Al Kabir, Muscat•",2014,"OMR 1,120",190000,Automatic,'4/5,GCC,Mazda 2,Silver,N/A,Mazda
هيونداي أزيرا 2019,"Muscat - Other, Muscat•",2019,"OMR 4,200",120000,Automatic,'4/5,Company Source,Azera,Black,N/A,Hyundai
Mitsubishi Galant 2006,"Muscat Hills, Muscat•",2006,OMR 670,340000,Automatic,'4/5,Europe,Galant,Other,N/A,Mitsubishi
Land Rover Range Rover Sport 2014,"Salalah, Dhofar•",2014,"OMR 7,400",210000,Automatic,'4/5,GCC,Range Rover Sport,White,N/A,Land Rover
Hyundai Tucson 2016 Model,"Ruwi, Muscat•",2016,"OMR 3,000",260000,Automatic,'4/5,GCC,Tucson,Silver,N/A,Hyundai
Nissan Van 2008,"Salalah, Dhofar•",2008,"OMR 1,400",180000,Manual,'4/5,GCC,Van,White,N/A,Nissan
Geely Emgrand X7 2015,"Al Khuwair, Muscat•",2015,"OMR 1,000",98000,Automatic,'4/5,GCC,Emgrand X7,Black,N/A,MG
"Toyota Prado 2019 Prado TXL, Engine: 2.7L, 4 cylinders","Al Khuwair, Muscat•",2019,"OMR 16,500",42900,Automatic,'4/5,Company Source,Prado,White,N/A,Toyota
دودج تشارجر 2019,"Sohar, Al Batinah•",2019,"OMR 4,900",175886,Automatic,N/A,Canada,Charger,Grey,N/A,Unknown
Toyota Land Cruiser 2014,"Al Khoud, Muscat•",2014,"OMR 15,000",150,Automatic,'4/5,GCC,Land Cruiser,White,N/A,Toyota
دودج تشالنجر 2015,"Suwaiq, Al Batinah•",2015,"OMR 3,500",999000,Automatic,N/A,US,Challenger,Blue,N/A,Unknown
Nissan Altima 2012,"Al Maabilah, Muscat•",2012,"OMR 1,450",170000,Automatic,'4/5,GCC,Altima,White,N/A,Nissan
Toyota Yaris 2018 Full option single lady used,"Azaiba, Muscat•",2018,"OMR 3,550",-,Automatic,'4/5,GCC,Yaris,Silver,N/A,Unknown
تويوتا كورولا هاتشباك 2023,"Wadi Al Ma'awal, Al Batinah•",2023,"OMR 6,500",46000,Automatic,'4/5,US,Corolla Hatchback,White,N/A,Toyota
Toyota Yaris 2024,"Al Khuwair, Muscat•",2024,"OMR 6,000",25000,Automatic,'4/5,GCC,Yaris,Silver,N/A,Toyota
فورد فوكس 2009,"Al Maabilah, Muscat•",2009,OMR 700,320000,Automatic,'4/5,GCC,Focus,Silver,N/A,Ford
2015 Kia Rio mint condition,"Qurum, Muscat•",2016,"OMR 2,500",80000,Automatic,N/A,GCC,Rio,Silver,N/A,Unknown
جي ام سي سييرا 2019,"Al Seeb, Muscat•",2019,"OMR 12,200",150000,Automatic,'4/5,GCC,Sierra,Blue,N/A,GMC
Honda Accord 2013,"Al Amarat, Muscat•",2013,"OMR 3,200",190000,Automatic,'4/5,GCC,Accord,Grey,N/A,Honda
تويوتا راف فور 2007,"Sur, Al Sharqiya•",2007,"OMR 2,350",354490,Automatic,'4/5,GCC,Rav 4,White,N/A,Toyota
Tesla Model 3 2024,"Sohar, Al Batinah•",2024,"OMR 14,500",7000,Automatic,N/A,US,Model 3,Silver,N/A,Unknown
Dodge Charger 2021,"The Wave (Almouj), Muscat•",2021,"OMR 5,400",100000,Automatic,'4/5,US,Charger,Grey,N/A,Dodge
Mercedes-Benz C-Class 2016,"Al Wadi Al Kabir, Muscat•",2016,"OMR 6,850",103000,Automatic,'4/5,GCC,C-Class,White,N/A,Unknown
تويوتا أفالون 2007,"Adam, Al Dakhiliya•",2007,"OMR 1,450",300000,Automatic,N/A,GCC,Avalon,Grey,N/A,Unknown
شيفروليه ترافرس 2017,"Al Amarat, Muscat•",2017,"OMR 2,500",200,Automatic,N/A,GCC,Traverse,Gold,N/A,Unknown
لكزس فئة - إل إكس 2001,"Al Bustan, Muscat•",2001,"OMR 1,700",-,Automatic,'4/5,US,LX-Series,Green,N/A,Unknown
Jeep Grand Cherokee 2020,"Saham, Al Batinah•",2020,"OMR 8,450",10000,Automatic,'4/5,US,Grand Cherokee,White,N/A,Jeep
GMC Acadia 2011 |Urgent Sale| Need Money,"Al Rustaq, Al Batinah•",2011,"OMR 1,850",232000,Automatic,'4/5,US,Acadia,White,N/A,GMC
Honda Civic 2001,"Barka, Al Batinah•",2001,OMR 530,20000,Automatic,'4/5,GCC,Civic,Silver,N/A,Honda
Land Rover Defender 2022,"Al Khoud, Muscat•",2022,"OMR 31,500",60000,Automatic,'4/5,Company Source,Defender,Brown,N/A,Land Rover
نيسان روج ( أكس تريل ) 2020 للبيع,"Al Khoud, Muscat•",2020,"OMR 4,350",165000,Automatic,'4/5,US,X-Trail,Blue,N/A,Unknown
Hyundai Accent 2020 phone 99731453,"Al Ghubrah, Muscat•",2020,"OMR 3,100",164000,Automatic,'4/5,GCC,Accent,White,N/A,Hyundai
Hyundai Accent 2020 phone 99731453,"Al Ghubrah, Muscat•",2020,"OMR 3,100",164000,Automatic,'4/5,GCC,Accent,White,N/A,Hyundai
تويوتا ياريس 2012,"Al Seeb, Muscat•",2012,"OMR 2,100",200,Automatic,'2/3,GCC,Yaris,White,N/A,Toyota
Suzuki Swift 2008,"Al Khuwair, Muscat•",2008,OMR 700,330000,Automatic,N/A,Company Source,Swift,White,N/A,Unknown
Dodge Ram 2014,"Al Amarat, Muscat•",2014,"OMR 3,800",308000,Automatic,N/A,GCC,Ram,Silver,N/A,Unknown
Toyota Yaris,"Al Maabilah, Muscat•",2014,"OMR 2,350",338848,Automatic,'4/5,GCC,Yaris,White,N/A,Toyota
Toyota Corolla 2013,"Al Hail, Muscat•",2013,"OMR 2,050",3000,Automatic,N/A,GCC,Corolla,Silver,N/A,Unknown
JEEP SAHARA Wrangler Trail Rated 2021 Model - Excellent Condition,"Al Seeb, Muscat•",2021,"OMR 10,950",80000,Automatic,'4/5,US,Wrangler,Grey,N/A,Jeep
OMAN Agency 2015 Jeep Grand Cherokee-Single owner-Excellent Condition,"Al Seeb, Muscat•",2015,"OMR 4,250",200000,Automatic,'4/5,Company Source,Grand Cherokee,White,N/A,Jeep
Mazda 3 2008,"Al Khuwair, Muscat•",2008,OMR 720,300000,Automatic,N/A,Company Source,3,Black,N/A,Unknown
فولكسفاغن بولو 2014,"Bidbid, Al Dakhiliya•",2014,"OMR 1,300",210000,Automatic,'4/5,GCC,Polo,White,N/A,Volkswagen
نيسان أكس تريل 2011,"Al Ghubrah, Muscat•",2011,"OMR 2,500",107000,Automatic,'4/5,GCC,X-Trail,Beige,N/A,Unknown
Nissan X-Trail 2015,"Al Maabilah, Muscat•",2015,"OMR 2,800",200000,Automatic,N/A,GCC,X-Trail,Brown,N/A,Unknown
Hyundai Accent 2007,"Al Ghubrah, Muscat•",2007,OMR 870,300000,Automatic,'4/5,GCC,Accent,White,N/A,Hyundai
BMW 5-Series 2009,"Al Khuwair, Muscat•",2009,"OMR 1,550",300000,Automatic,'4/5,GCC,5-Series,Gold,N/A,Unknown
Infiniti EX35 2007,"Al Khuwair, Muscat•",2007,"OMR 1,800",300,Automatic,'4/5,GCC,EX35,Red,N/A,Infiniti
فورد إكسبديشن 2020,"Bidbid, Al Dakhiliya•",2020,"OMR 8,700",167000,Automatic,'4/5,US,Expedition,White,N/A,Ford
سوبارو إمبريزا 2007,"Al Seeb, Muscat•",2007,OMR 950,400000,Automatic,'4/5,Europe,Impreza,Blue,N/A,Subaru
Kia موهافي للبيع,"Salalah, Dhofar•",2009,"OMR 2,000",55000,Automatic,N/A,GCC,Mohave,Silver,N/A,Unknown
تويوتا كورولا 2018,"Al Amarat, Muscat•",2018,"OMR 3,750",-,Automatic,'4/5,US,Corolla,Silver,N/A,Unknown
Toyota Yaris 1.5 PRIME GCC Oman 2023 تويوتا ياريس خليجي فول اتوماتيك,"Azaiba, Muscat•",2023,"OMR 4,999",47000,Automatic,'4/5,GCC,Yaris,Grey,N/A,Toyota
Mazda 3 2010,"Mutrah, Muscat•",2010,OMR 950,300000,Automatic,'4/5,GCC,3,Black,N/A,Mazda
Hyundai Sonata 2018,"Ruwi, Muscat•",2018,"OMR 3,000",99456,Automatic,'2/3,US,Sonata,Silver,N/A,Hyundai
Mazda CX-9 2020 2020,"Sohar, Al Batinah•",2020,"OMR 9,800",242000,Automatic,'2/3,GCC,CX-9,Red,N/A,Unknown
لكزس ES 350 2017,"Al Khaboura, Al Batinah•",2017,"OMR 6,200",7800,Automatic,'4/5,US,ES 350,Gold,N/A,Lexus
نيسان سنترا 2013,"Al Hail, Muscat•",2013,"OMR 1,250",100,Automatic,'4/5,Company Source,Sentra,Black,N/A,Nissan
Renault 5 2018,"Sohar, Al Batinah•",2018,"OMR 11,000",-,Automatic,'2/3,Europe,5,Other,N/A,Unknown
Hyundai I10 2020,"Al Khuwair, Muscat•",2020,"OMR 2,250",60000,Automatic,'4/5,GCC,I10,Silver,N/A,Hyundai
Mitsubishi Pajero 2016,"Al Ghubrah, Muscat•",2016,"OMR 5,500",118000,Automatic,'4/5,GCC,Pajero,Silver,N/A,Mitsubishi
Jeep Grand Cherokee 2018 Limited,"Al Khuwair, Muscat•",2018,"OMR 6,975",171000,Automatic,'4/5,GCC,Grand Cherokee,Brown,N/A,Jeep
Kia Rio 2018,"Bosher, Muscat•",2018,"OMR 3,250",156,Automatic,'2/3,GCC,Rio,White,N/A,Kia
تويوتا أفالون 2011,"Al Buraimi, Al Buraimi•",2011,"OMR 3,100",32000,Automatic,'4/5,US,Avalon,White,N/A,Toyota
هيونداي سوناتا 2011,"Al Masn'a, Al Batinah•",2011,"OMR 1,000",1,Automatic,N/A,GCC,Sonata,Silver,N/A,Unknown
